"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"BOOT0";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"7";"";
"C1";"22u";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C16";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C17";"22u";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C18";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C20";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"F1";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"R";
"IC1";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IC2";"BLUE_PILL";"BLUE_PILL";"BLUE_PILL";"";"";"";"";"";"";"";
"IC3";"NCV7351D1E";"NCV7351D1E";"SO08";"High Speed CAN Transceiver";"";"";"";"";"";"";
"J3";"MA04-1";"MA04-1";"MA04-1";"";"";"";"";"";"";"";
"LED3";"red";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";
"R1";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R";
"R2";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R";
"R5";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R";
"R16";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";
"R17";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";
"SW1";"SWITCH_TACTILETOP";"SWITCH_TACTILETOP";"SWITCH_TACTILE_3X6";"";"";"";"";"";"";"";
"U$6";"CSTCE8M00G55";"CSTCE8M00G55";"CSTCE8M00G55";"";"";"";"";"";"";"";
"U1";"STM32F103C8";"STM32F103C8";"LQFP48";"STMicroelectronics STM32F103C8";"";"";"";"";"";"";
"U7";"XC6206";"XC6206";"SOT95P240X110-3";"";"";"";"";"";"";"";
"X1";"8P8C-LED";"8P8C-LED";"8P8C-LED";"generic 8P8C connector with two LED's";"";"";"unknown";"unknown";"";"";
